code_suas,municipio,cod_ibge,uf,nome_centro,tipo_centro,endereco,telefone,data_abertura,fonte_centros,fonte_geocode,lon,lat
43117902285,Maratá,4311791,RS,Centro de Referência em Assistência Social Conviver,CRAS,"Padre Bernardo Rech, 100 - Centro, Maratá - RS, 95793000",5196940340,01/01/2007,MDS,Google,-51.5573115,-29.5470394
43040006778,Campo Novo,4304002,RS,CRAS Campo Novo,CRAS,"Padre Bernardo, 1120 - Centro, Campo Novo - RS, 98570000",5535281357,01/07/2006,MDS,Google,-53.8007523,-27.6741482
35232000276,Itararé,3523206,SP,CRAS NOVO HORIZONTE,CRAS,"Padre Caetano Jovino, 421 - Velho, Itararé - SP, 18460000",1535312676,01/08/2005,MDS,Google,-49.3441669,-24.1169796
35033038056,Araras,3503307,SP,CRAS BRASÍLIO PENTEADO CASTRO,CRAS,"Padre Casemiro, 165 - Vila Queiroz, Araras - SP, 13600450",1933527614,22/08/2014,MDS,Google,-47.3761599,-22.35197
35109032299,Cássia dos Coqueiros,3510906,SP,CRAS,CRAS,"Padre Cassiano, 665 - Centro, Cássia dos Coqueiros - SP, 14260000",1636691556,02/05/2011,MDS,Google,-47.16958169999999,-21.2804812
25091501209,Marizópolis,2509156,PB,Centro de Referência da Assistência Social - CRAS - Marizópolis/PB,CRAS,"Padre Cícero, 1 - centro, Marizópolis - PB, 58819000",8335441050,01/01/2007,MDS,Google,-38.3448185,-6.8437274
42089002725,Jaraguá do Sul,4208906,SC,CRAS Ilha da Figueira,CRAS,"Padre Donato Wieme, 202 - Ilha da Figueira, Jaraguá do Sul - SC, 89258811",4733721470,01/02/2007,MDS,Google,-49.0319716,-26.491788
23059020019,Ipueiras,2305902,CE,CRAS II Matriz de São Gonçalo,CRAS,"Padre Francisco Tupinambá de Melo, 0 - Matriz de São Gonçalo, Ipueiras - CE, 62230000",8836856079,01/06/2009,MDS,Google,-40.8167946,-4.5725548
31015006449,Além Paraíba,3101508,MG,CRAS Goiabal,CRAS,"Padre Francisco Xavier Butinhá, 240 - GOIABAL, Além Paraíba - MG, 36660000",3234620904,18/03/2008,MDS,Google,-43.3499083,-22.9008102
32013002405,Cariacica,3201308,ES,CRAS II - Padre Gabriel,CRAS,"Padre Gabriel Maire, 317 - Padre Gabriel, Cariacica - ES, 29141887",2733466325,01/07/2004,MDS,Google,-40.38845389999999,-20.3728305
31406003810,Materlândia,3140605,MG,Centro de Referência de Assistência Social - CRAS,CRAS,"Padre Galdino Alves, 193 - Centro, Materlândia - MG, 39755000",3334271325,01/10/2005,MDS,Google,-43.0592488,-18.4748415
